Word	Definition	Example
stultify	cause to appear or become stupid or inconsistent; frustrate or hinder	His long hours in the blacking factory left young Dickens numb and incurious, as if the menial labor had stultified his mind.
stupefy	make numb; stun; amaze	Disapproving of drugs in general, Laura refused to take sleeping pills or any other medicine that might stupefy her.
stupor	state of apathy; daze; lack of awareness	In his stupor, the addict was unaware of the events taking place around him.
stygian	literary dark	The stygian room reminded him of an empty space.
stymie	present an obstacle; stump	The detective was stymied by the contradictory evidence in the robbery investigation.
suavity	urbanity; polish	He is particulary good in roles that require suavity and sophistication.
subaltern	subordinate	The captain treated his subalterns as though they were children rather than commissioned officers.
subjective	occurring or taking place within the mind; unreal	Your analysis is highly subjective; you have permitted your emotions and your opinions to color your thinking.
subjugate	conquer; bring under control	It is not our aim to subjugate our foe; we are interested only in establishing peaceful relations.
sublimate	refine; purify	We must strive to sublimate these desires and emotions into worthwhile activities.
sublime	exalted; noble; uplifting	Mother Teresa has been honored for her sublime deeds.
subliminal	below the threshold	We may not be aware of the subliminal influences that affect our thinking.
submissive	yielding; timid	Crushed by his authoritarian father, Will had no defiance left in him; he was totally submissive in the face of authority.
suborn	persuade to act unlawfully (especially to commit perjury)	In the Godfather, the mobsters used bribery and threats to suborn the witnesses against Don Michael Corleone.
subpoena	writ summoning a witness to appear	The prosecutor's office was ready to serve a subpoena on the reluctant witness.
subsequent	following; later	In subsequent lessons, we shall take up more difficult problems.
subservient	behaving like a slave; servile; obsequious	He was proud and dignified; he refused to be subservient to anyone.
subside	settle down; descend; grow quiet	The doctor assured us that the fever would eventually subside.
subsidiary	subordinate; secondary	This information may be used as subsidiary evidence but is not sufficient by itself to prove your argument.
subsidy	direct financial aid by government, etc	Without this subsidy, American ship operators would not be able to compete in world markets.
subsistence	existence; means of support; livelihood	In those days of inflated prices, my salary provided mere subsistence.
substantiate	verify; support	I intend to substantiate my statement by producing witnesses.
substantive	essential; pertaining to the substance	Although the delegates were aware of the importance of the problem, they could not agree on the substantive issues.
subsume	include; encompass	Does the general theory of relativity contradict Newtonian physics, or is Newton's law of gravity subsumed into Einstein's larger scheme?
subterfuge	pretense; evasion	As soon as we realized that you had won our support by a subterfuge we withdrew our endorsement of your candidacy.
subtlety	nicety; cunning; guile; delicacy	The subtlety of his remarks was unnoticed by most of his audience.
subversive	tending to overthrow; destructive	At first glance, the notion that Styrofoam cups may actually be more ecologically sound than paper cups strikes most environmentalists as subversive.
succinct	brief; terse; compact	His remarks are always succinct and pointed.
succor	aid; assistance; relief	We shall be ever grateful for the succor our country gave us when we were in need.
succulent	juicy; full of richness	To some people, Florida citrus fruits are more succulent than those from California.
succumb	yield; give in; die	I succumb to temptation whenever it comes my way.
suffragist	advocate of voting rights (for women)	In recognition of her efforts to win the vote for women, Congress authorized coining a silver dollar honoring the suffragist Susan B. Anthony.
suffuse	spread over	A blush suffused her cheeks when we teased her about her love affair.
sully	tarnish; soil	He felt that it was beneath his dignity to sully his hands in such menial labor.
sultry	sweltering	He could not adjust himself to the sultry climate of the tropics.
summation	act of finding the total, summary	In his summation, the lawyer emphasized the testimony given by the two witnesses.
sumptuous	lavish; rich	I cannot recall when I have had such a sumptuous Thanksgiving feast.
sunder	separate; part	Northern and southern Ireland are politically and religiously sundered.
sundry	various; several	My suspicions were aroused when I read sundry items in the newspapers about your behavior.
superannuated	retired or disqualified because of age	The superannuated man was indignant because he felt that he could still perform a good day's work.
supercilious	contemptuous; haughty	I prefer Jill's modesty to Jack's supercilious and arrogant attitude.
supererogatory	superfluous; more than needed or demanded	We have more than enough witnesses to corroborate your statement; to present any more would be supererogatory.
superficial	trivial; shallow	Since your report gave only a superficial analysis of the problem, I cannot give you more than a passing grade.
